ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
1.64891,1.59271,2146,17.2112,0.998396,0.385817,0.0194962,0.22952,0.0100694,0.115416,0.00568767,0.148649,0.0408271,0.998396,0,0.00014401,0,0.0078125,0,0.00260417,0.888521,0.888521,0.00716563,1,0.00260417,22.7398,4263936,4,4,0,1,16,300,16,0.3,0.05,0.75,8552448.0,269312.0
1.1249,3.27404,4430,15.3542,2.20597,0.763322,0.0351842,0.470107,0.0176142,0.234578,0.00648996,0.296782,0.0798681,2.20597,1,0.000258987,0,0.575521,1,0.0104167,1.06167,1.06167,0.0111181,2,0.00477431,23.8071,4263225,4,4,0,1,16,300,8,0.4,0.4,0.75,8663040.0,197632.0
0.793672,83.0859,118649,3.76145,27.406,14.3313,0.14139,11.5021,0.0732125,5.38097,0.6848,5.84344,1.3446,27.406,12,0.000966857,2,10.5052,11,0.194852,0.694317,0.694317,0.0781943,18,0.116301,130.186,4263937,5,4,0,1,16,300,4,0.2,0.025,0.75,8384512.0,215040.0
1.16074,2.65788,3606,15.141,2.06205,0.657288,0.035868,0.390714,0.0177764,0.19597,0.00634687,0.255999,0.0692994,2.06205,0,0.000229356,0,0.273438,0,0.0130208,0.977107,0.977107,0.00942554,2,0.00737847,22.6763,4263939,4,4,0,1,16,300,8,0.2,0.025,0.75,8585216.0,232448.0
1.04715,206.717,269348,3.31163,99.4383,37.5807,2.42203,27.3879,1.14388,13.9226,1.52426,15.9987,3.5243,99.4383,16,0.00248823,2,13.9479,14,0.149852,1.52115,1.52115,0.383748,24,0.0867493,350.145,4263940,6,4,0,1,16,300,4,0.5,0.2,0.75,12304384.0,238592.0
0.425569,71.9372,303383,0.741389,12.1388,17.6484,0.0897469,15.1406,0.0637896,6.21882,2.41245,7.04526,1.2413,12.1388,32,0.000588118,9,22.1198,22,0.438432,0.353481,0.353481,0.0614873,31,0.313041,103.329,4269251,6,4,0,1,8,150,8,0.5,0.025,0.75,9932800.0,430080.0
0.90389,30.5391,40685,2.56552,39.0486,6.92815,0.33795,4.47006,0.161344,2.23623,0.0320654,2.78717,0.732936,39.0486,4,0.00109785,0,4.18229,4,0.0295139,1.28204,1.28204,0.121303,12,0.0101384,81.4481,4263229,5,4,0,1,16,300,4,0.3,0.1,0.75,9367552.0,228352.0
1.56738,30.5126,40755,31.675,36.0372,7.56668,0.412754,4.52302,0.200677,2.25876,0.0317839,2.94706,0.794487,36.0372,2,0.000630162,0,2.0026,2,0.000651042,1.65815,1.65815,0.0866865,8,0.000325521,109.145,4269254,6,4,0,1,16,300,16,0.3,0.4,0.75,9056256.0,310272.0
1.48518,34.0696,45437,27.7594,39.0116,8.31118,0.429304,5.03011,0.207493,2.50703,0.0330136,3.23444,0.868246,39.0116,2,0.000624827,0,2.07422,2,0.00585938,1.62699,1.62699,0.101814,8,0.0015408,112.411,4263230,6,4,0,1,16,300,16,0.3,0.2,0.75,8556544.0,269312.0
1.10838,44.6319,60194,9.10462,72.4609,11.0546,0.636201,6.75654,0.306824,3.40193,0.0417422,4.39496,1.15419,72.4609,3,0.00107808,0,3.22656,3,0.0199653,1.53894,1.53894,0.108343,11,0.00664175,140.063,4269259,6,4,0,1,16,300,8,0.2,0.4,0.75,8900608.0,178176.0
0.336537,9.14671,34862,0.777178,12.6808,3.73056,0.227448,2.31563,0.13217,1.15895,0.0206975,1.56866,0.363744,12.6808,4,0.00049441,0,3.98958,4,0.00347222,0.457897,0.457897,0.0184113,12,0.00176505,27.1628,4269261,6,4,0,1,8,150,8,0.2,0.1,0.75,2617344.0,50176.0
0.168868,1.29744,4917,1.56299,0.667158,0.509747,0.0236915,0.31945,0.0140325,0.157202,0.00407304,0.208018,0.0524778,0.667158,2,0.000266589,0,1.89062,2,0.0182292,0.186447,0.186447,0.00595817,6,0.00538194,4.40448,4269263,4,4,0,1,8,150,4,0.4,0.1,0.75,2641920.0,68608.0
1.09901,103.827,134674,3.99624,82.7378,21.3631,1.23123,14.5368,0.583,7.44945,0.155852,8.99905,2.18372,82.7378,8,0.00133119,0,7.84375,8,0.0221478,1.43458,1.43458,0.241382,17,0.00982319,214.798,4269271,6,4,0,1,16,300,8,0.5,0.2,0.75,9687040.0,340992.0
0.517116,44.9613,58466,2.61215,38.0681,9.26287,0.480211,6.2448,0.228286,3.14644,0.0659998,3.85521,0.971449,38.0681,6,0.00114957,0,6.04688,6,0.0327257,0.895111,0.895111,0.179742,15,0.0140453,96.5745,4263236,5,4,0,1,16,300,4,0.5,0.1,0.75,4194304.0,43008.0
0.788739,134.744,556437,0.723275,20.0602,29.9017,0.219796,26.1969,0.148086,9.70193,6.96259,10.6948,1.79058,20.0602,59,0.0010572,26,32.2708,32,0.850308,0.665409,0.665409,0.113334,42,0.659408,187.029,4269274,6,4,0,1,8,150,4,0.4,0.025,0.75,11943936.0,703488.0
0.295235,29.5974,43424,7.88768,27.5309,6.51854,0.0218797,4.6183,0.0146698,2.25497,0.0179253,2.45309,0.632998,27.5309,4,0.000289181,0,3.99479,4,0.00182292,0.321849,0.321849,0.0180427,11,0.00082268,72.1839,4263241,5,4,0,1,16,300,16,0.3,0.025,0.75,3633152.0,44032.0
0.878421,25.007,33153,39.4391,28.1727,6.27429,0.339915,3.73079,0.166076,1.86133,0.0295676,2.43419,0.658993,28.1727,2,0.000542442,0,1.86979,2,0.00651042,1.36561,1.36561,0.0701126,6,0.00145399,101.243,4263246,6,4,0,1,16,300,16,0.2,0.2,0.75,3608576.0,235520.0
