,ADAPT_COMM,ADVANCE$,ADVANCE_STEPS_COUNTER$,CFL_COMM,COMM,GHOSTFILL$,GHOSTFILL_AVERAGE,GHOSTFILL_COPY,GHOSTFILL_INTERP,GHOSTFILL_STEP1,GHOSTFILL_STEP2,GHOSTFILL_STEP3,GHOSTPATCH_BUILD,GHOSTPATCH_COMM,GRIDS_PER_PROC$,INIT,INTERIOR,LOCAL,LOCAL_BOUNDARY,LOCAL_BOUNDARY_RATIO,PARTITION,PARTITION_COMM,REGRID$,REMOTE_BOUNDARY,REMOTE_BOUNDARY_RATIO,WALLTIME,jobid,max,mi,min,mj,mx,nout,p,r0,rhoin,tfinal,MaxRSS,AveRSS
875,1.78933,83.7083,33054,105.153,55.39,11.4734,0.562684,6.83759,0.224547,3.46731,0.0316653,4.2209,1.5121,55.39,2,0.000674871,0,1.8151,2,0.00651042,2.71288,2.71288,0.303561,6,0.00169271,260.742,4284931,5,4,0,1,32,600,8,0.3,0.5,0.75,10768384.0,202752.0
876,0.162124,0.579001,772,8.32917,0.257715,0.128586,0.00601727,0.0780256,0.00320488,0.039127,0.00288036,0.0500541,0.0126555,0.257715,0,8.44151e-05,0,0.0234375,0,0.0104167,0.144036,0.144036,0.0016778,0,0.00868056,9.60563,4284932,3,4,0,1,16,300,8,0.4,0.5,0.75,0.0,0.0
877,2.22366,38.8333,15753,174.606,22.5234,5.09125,0.240655,3.09542,0.0986156,1.54696,0.0247404,1.91834,0.551973,22.5234,0,0.000556771,0,0.350694,0,0.00694444,3.13414,3.13414,0.112737,2,0.00238715,246.621,4284933,5,4,0,1,32,600,24,0.4,0.25,0.75,11001856.0,564224.0
878,0.249946,60.6037,88336,4.80495,22.4949,11.2766,0.0406885,8.85842,0.0252157,4.34755,0.0855717,4.61778,1.07164,22.4949,9,0.00060769,0,8.7474,9,0.0321181,0.288625,0.288625,0.0395019,16,0.0204114,99.7792,4284934,5,4,0,1,16,300,8,0.4,0.02,0.75,921600.0,2048.0
879,0.271523,0.173296,225,8.92464,0.0875343,0.0429621,0.0024015,0.022922,0.00153633,0.0121464,0.00241673,0.0158491,0.00391837,0.0875343,0,7.00909e-05,0,0.00260417,0,0.0,0.164167,0.164167,0.00095098,0,0.0,9.67022,4284935,3,4,0,1,16,300,24,0.3,0.25,0.75,0.0,0.0
880,1.60956,120.727,47260,67.9842,71.0333,16.5131,0.733691,9.97737,0.288474,5.15965,0.0394455,5.92569,2.45009,71.0333,2,0.00178881,0,2.10938,2,0.00390625,2.6625,2.6625,0.451438,8,0.00128038,281.303,4284936,5,4,0,1,32,600,8,0.4,0.25,0.75,10821632.0,233472.0
881,0.976486,459.438,667013,4.73724,62.9144,70.6371,0.190004,61.3455,0.116935,26.3227,9.57871,26.7711,5.44886,62.9144,35,0.00124785,11,23.5391,24,0.485099,0.917256,0.917256,0.262835,32,0.359053,599.968,4284937,6,4,0,1,16,300,8,0.3,0.02,0.75,14848000.0,288768.0
882,4.02577,126.754,50318,266.634,92.2681,17.3787,0.890653,10.2828,0.359064,5.17449,0.0547432,6.45211,1.99759,92.2681,1,0.000493458,0,1.00087,1,0.000868056,5.23153,5.23153,0.277495,5,0.000434028,512.797,4284938,6,4,0,1,32,600,24,0.3,0.5,0.75,11616256.0,247808.0
883,0.394665,0.220438,289,8.94476,0.104759,0.0528921,0.0028341,0.0291712,0.00171906,0.0151977,0.0024437,0.0197605,0.00502204,0.104759,0,7.34213e-05,0,0.0,0,0.00173611,0.220481,0.220481,0.0011779,0,0.00130208,9.94233,4284939,3,4,0,1,16,300,24,0.4,0.25,0.75,0.0,0.0
884,2.16886,29.7633,12177,178.009,17.1648,4.02181,0.192846,2.41639,0.0795727,1.20797,0.0235644,1.50609,0.430959,17.1648,0,0.000507194,0,0.0164931,0,0.00260417,2.92669,2.92669,0.0846741,2,0.00144676,234.218,4284940,5,4,0,1,32,600,24,0.3,0.25,0.75,10866688.0,284672.0
