p,mx,max,r0,rhoin,Cost,MaxRSS,WALLTIME,hash
8,16,5,0.2,0.2,-0.985518664319,6.92580531839,46.5258,2675c0a53e59
16,32,3,0.4,0.2,-0.599423638592,6.31651046481,56.5925,02336936b984
16,8,5,0.3,0.025,-1.30745465645,6.44614432262,11.0848,187f1f54e78a
16,8,3,0.4,0.05,-2.01910419793,6.43124536256,2.15317,280380e1086a
8,16,4,0.4,0.05,-1.29959052618,6.53196097175,22.5747,b5b8814a5f1a
16,8,4,0.2,0.4,-1.70260234258,6.44486886067,4.46252,e1e394fe7967
16,8,5,0.2,0.2,-1.43114667119,6.44486886067,8.3375,3104ce0daf14
8,16,5,0.5,0.1,-0.848074058673,6.50333954496,63.8467,cff1090a01ed
16,32,4,0.2,0.4,-0.283799969222,6.7698167161,117.053,0987753a0c0a
16,16,3,0.4,0.025,-1.34032038749,6.91942789863,10.2769,5d79d974b5d9
16,32,4,0.5,0.1,-0.284420021379,6.82348048923,116.886,8efb66042e1f
16,16,3,0.2,0.025,-1.37111086921,6.54584723582,9.57352,a58cc5ac9232
8,16,5,0.3,0.025,-0.647183124829,6.98984833134,101.398,a990faec4cef
16,32,4,0.4,0.2,-0.287593511521,6.5728307255,116.035,c1d40ee07c65
16,16,3,0.3,0.05,-1.36509390927,6.51163313529,9.70708,a5699bb75616
16,32,4,0.2,0.2,-0.291137381072,6.72160091656,115.092,b1c9fd7f3244
16,8,4,0.3,0.025,-1.65229191729,6.43190388351,5.01061,55620f90aede
8,32,5,0.2,0.4,-0.246233151649,7.03016367061,255.258,310237d8dbe7
8,8,3,0.4,0.025,-2.32602733193,6.38760620771,2.12415,f325475fa8a7
16,16,5,0.2,0.1,-0.69928667218,6.53767203947,44.9672,f4da2bab40b4
8,32,5,0.5,0.05,0.110493937994,7.18476681553,580.372,f6df77d616ce
16,8,5,0.5,0.4,-1.30473630375,6.89065615606,11.1544,c07efe319eb3
8,8,5,0.2,0.2,-1.7321641656,4.81647993062,8.33774,ef4dcd8e20fc
8,32,4,0.2,0.025,-0.618399631437,6.45434475256,108.346,0608dfeaea3e
16,32,3,0.5,0.1,-0.592257194252,7.06598402156,57.5341,a676e702bf2f
16,16,3,0.3,0.2,-1.36731015652,6.51053643147,9.65767,61e155220916
8,32,5,0.2,0.2,-0.242872324583,7.05011051079,257.241,4eda96cc9bc3
16,16,3,0.4,0.1,-1.370345344,5.37578794153,9.59041,5cda1995f7de
8,32,4,0.5,0.4,-0.565452385433,6.63313543616,122.394,2fececdd24d8
8,32,3,0.2,0.4,-0.907369794026,6.43124536256,55.6984,a0ea9ab7b3bd
16,32,4,0.2,0.025,-0.322879924552,6.71923049245,106.98,623fe780c270
16,32,5,0.3,0.1,0.0638902066739,7.03609719795,260.659,c30792079c20
8,32,4,0.5,0.025,-0.619748547698,6.70543125434,108.01,db6579129a07
16,16,4,0.2,0.2,-1.03928405298,6.54887369045,20.5541,9b9187d4cb59
8,32,4,0.2,0.05,-0.584692707774,6.75160916554,117.09,50e323403c42
8,8,3,0.3,0.025,-2.34660522802,6.36823480364,2.02585,9be9b8fab029
16,32,3,0.3,0.05,-0.598453952818,6.65217050212,56.719,bc6d41df11c2
16,8,3,0.4,0.4,-2.02507299145,6.43908246814,2.12378,f67e24462946
8,32,4,0.5,0.1,-0.553732149999,7.03231569646,125.742,0e08a00ce1c6
16,16,4,0.3,0.1,-1.04275677266,6.55137972442,20.3904,7f7b953d506d
16,8,3,0.2,0.025,-2.01793591048,4.81647993062,2.15897,f4f3aa05acff
8,16,5,0.5,0.2,-0.866307128887,4.75848798365,61.2217,f7c0f672db03
8,32,5,0.3,0.4,-0.230150229513,7.05483971703,264.888,09c651263460
16,16,4,0.3,0.05,-0.997960715998,6.94135080342,22.6059,a4278b1d9f98
8,32,5,0.5,0.025,0.111438018617,7.18824026365,581.635,d40cc6735ed0
8,16,4,0.3,0.1,-1.32075789437,6.92538305829,21.5008,8a60c6e0fc41
16,32,5,0.3,0.4,0.0529246837077,7.04772645458,254.16,713120464903
16,32,5,0.3,0.2,0.0469804773975,7.03363473918,250.705,f542c7d06bf9
8,32,3,0.3,0.025,-0.935361508245,6.98984833134,52.2217,3cf145077dd9
16,8,5,0.2,0.4,-1.43400481895,6.43648578188,8.28281,01ad0e7d3a41
8,32,5,0.2,0.1,-0.239343007266,7.03429276125,259.34,62b18421507f
16,16,5,0.5,0.05,-0.567506752982,6.94073955141,60.9082,37b3ccfa2a27
16,32,4,0.4,0.025,-0.333199237728,7.02750030016,104.468,c1c6ba29ad9b
8,8,4,0.5,0.025,-2.07540487383,6.41718062669,3.78275,27c1ab1d67c7
8,8,5,0.4,0.025,-1.59875650766,6.43648578188,11.3359,49c6f971c2ca
8,16,3,0.2,0.1,-1.67530243048,6.50445455066,9.50408,eb52db69a886
